comp,season,n
champions-league,2004,29
champions-league,2005,195
champions-league,2006,205
champions-league,2007,207
champions-league,2008,213
champions-league,2009,213
champions-league,2010,213
champions-league,2011,213
champions-league,2012,213
champions-league,2013,213
champions-league,2014,213
champions-league,2015,215
champions-league,2016,217
champions-league,2017,217
champions-league,2018,219
champions-league,2019,216
champions-league,2020,210
champions-league,2021,177
europa-league,2004,61
europa-league,2005,293
europa-league,2006,315
europa-league,2007,351
europa-league,2008,358
europa-league,2009,359
europa-league,2010,477
europa-league,2011,481
europa-league,2012,483
europa-league,2013,479
europa-league,2014,480
europa-league,2015,483
europa-league,2016,475
europa-league,2017,469
europa-league,2018,473
europa-league,2019,519
europa-league,2020,512
europa-league,2021,360
